nconst,averageRating,primaryName,coefficients,count,predictRating
nm0000002,5.542857142857143,Lauren Bacall,-0.6265730429175993,7,5.543752247204162
nm0000008,5.757142857142857,Marlon Brando,-0.45372150973670766,7,5.757791030728193
nm0000018,5.766666666666666,Kirk Douglas,0.61356903397988,3,5.7646214365534005
nm0000032,5.2749999999999995,Charlton Heston,-0.3946062847638352,4,5.275986515711907
nm0000041,7.433333333333334,Akira Kurosawa,0.8276051686499765,3,7.430574649437834
nm0000047,6.175,Sophia Loren,-0.2194386270782343,4,6.1755485965676975
nm0000052,6.685714285714285,Marcello Mastroianni,-0.2912311518092174,7,6.686130330216867
nm0000056,6.8,Paul Newman,0.29950138157691203,8,6.799625623273033
nm0000063,6.033333333333334,Anthony Quinn,-0.5658487842357541,3,6.035219495947452
nm0000084,6.868181818181818,Gong Li,-0.02082297754924992,22,6.8681912831716145
nm0000090,6.2749999999999995,Armin Mueller-Stahl,0.4703354263802442,12,6.274608053811348
nm0000091,5.575,Gérard Pirès,0.038769713985622206,4,5.574903075715037
nm0000092,6.1461538461538465,John Cleese,0.12220951754582889,13,6.1460598388326595
nm0000093,7.079069767441863,Brad Pitt,0.2579675960712349,43,7.079009774977655
nm0000095,6.673529411764704,Woody Allen,0.6611463637820495,34,6.673334956951826
nm0000096,6.359999999999999,Gillian Anderson,0.12261094720662323,15,6.35991825936853
nm0000097,3.8142857142857145,Pamela Anderson,-1.3084707296672777,7,3.8161549581852485
nm0000098,6.2,Jennifer Aniston,-0.1887490778752207,33,6.200057196690265
nm0000099,6.321739130434781,Patricia Arquette,0.007119451469277813,23,6.321736035021098
nm0000100,6.471428571428572,Rowan Atkinson,0.4663994522757718,7,6.470762286496749
nm0000101,5.722727272727273,Dan Aykroyd,-0.34941602139233224,22,5.722886098191538
nm0000102,6.516666666666666,Kevin Bacon,0.2392688825979263,36,6.516600203088169
nm0000103,6.05,Fairuza Balk,-0.00439940209504512,10,6.050004399402097
nm0000104,5.964814814814815,Antonio Banderas,-0.10041873534063211,54,5.964833410876918
nm0000105,4.68,Adrienne Barbeau,-1.2022445178666532,5,4.682404489035735
