tconst,averageRating,numVotes,originalTitle,startYear,predictRating,residuals
tt0099142,5.6,1486,BlackJack,1990,4.9224263695334205,0.6775736304665791
tt0099160,5.7,14628,Blue Steel,1990,6.462287434281851,-0.7622874342818511
tt0099165,5.6,24250,The Bonfire of the Vanities,1990,6.122494124898625,-0.5224941248986257
tt0099166,6.2,1115,Book of Love,1990,6.490496429142972,-0.2904964291429719
tt0099173,6.0,4239,Brain Dead,1990,5.897232507732292,0.10276749226770843
tt0099180,6.3,15067,Bride of Re-Animator,1990,5.134518905655618,1.1654810943443819
tt0099204,5.7,13951,Cadillac Man,1990,5.213123398769469,0.4868766012305308
tt0099260,5.2,1207,China O'Brien,1990,4.3053280320633265,0.8946719679366737
tt0099266,7.6,5090,Le château de ma mère,1990,7.640902525737258,-0.040902525737258166
tt0099273,7.9,4105,City Life,1990,8.19246404999015,-0.29246404999014963
tt0099277,5.9,7258,Class of 1999,1990,5.603223172234562,0.2967768277654388
tt0099291,6.7,2756,Come See the Paradise,1990,6.335912336888994,0.3640876631110066
tt0099292,6.3,5192,The Comfort of Strangers,1990,6.364258002130912,-0.06425800213091204
tt0099293,5.8,1441,Le comiche,1990,5.703424450423968,0.09657554957603143
tt0099310,6.7,2428,Coupe de Ville,1990,6.84711411736518,-0.14711411736517999
tt0099312,4.4,1338,Cover-Up,1991,4.433115564286981,-0.03311556428698026
tt0099316,6.1,4510,Crazy People,1990,6.221126135897035,-0.12112613589703525
tt0099329,6.5,57654,Cry-Baby,1990,6.3078557318534605,0.1921442681465395
tt0099334,7.5,23478,Cyrano de Bergerac,1990,7.066504601338781,0.43349539866121933
tt0099348,8.0,250617,Dances with Wolves,1990,7.734536600379499,0.2654633996205007
tt0099365,6.4,61398,Darkman,1990,5.9212884856236805,0.47871151437631987
tt0099371,6.1,83677,Days of Thunder,1990,6.543943497961082,-0.4439434979610821
tt0099385,5.7,18196,Death Warrant,1990,6.3475673168396725,-0.6475673168396723
tt0099395,4.8,1505,Def by Temptation,1990,5.600563146144686,-0.800563146144686
tt0099399,4.9,7241,Delta Force 2: The Colombian Connection,1990,4.854783282367276,0.04521671763272472
tt0099401,5.0,2413,Demon Wind,1990,5.785280839638212,-0.7852808396382116
tt0099409,5.4,7386,Desperate Hours,1990,5.302525334369631,0.09747466563036955
tt0099422,6.1,59786,Dick Tracy,1990,6.064659391092674,0.03534060890732604
tt0099423,7.1,347532,Die Hard 2,1990,6.499017368091149,0.6009826319088507
tt0099426,7.6,10383,Dip huet gai tau,1990,7.387575248119214,0.21242475188078558
tt0099429,6.7,5144,Dil,1990,6.345499413356396,0.3545005866436046
tt0099441,5.2,1848,Disturbed,1990,5.372353816838427,-0.17235381683842643
tt0099450,5.8,2748,Don't Tell Her It's Me,1990,6.016314970403242,-0.21631497040324188
tt0099460,5.7,1941,Downtown,1990,5.4074693342078595,0.2925306657921407
tt0099472,6.9,25942,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.995124969285301,0.9048750307146998
tt0099484,5.6,3700,Las edades de Lulú,1990,5.740888372558492,-0.14088837255849196
tt0099487,7.9,461699,Edward Scissorhands,1990,6.854513853668353,1.0454861463316476
